1	0
2	0
3	0
4	1
6	2
7	2
8	2
11	3
12	4
13	4
15	6
17	6
18	7
19	7
22	8
23	8
24	11
25	11
27	12
30	13
31	13
32	13
33	15
36	17
38	18
40	19
41	22
43	23
45	24
46	24
48	24
49	25
52	27
53	27
54	30
55	30
58	31
59	31
60	32
62	32
64	33
65	33
67	36
68	36
70	38
71	38
72	40
74	40
75	41
77	41
78	43
79	43
81	45
83	45
84	46
85	46
87	48
89	48
90	49
92	49
94	52
95	53
97	53
98	53
100	54
102	55
103	58
105	59
107	60
110	62
112	64
113	65
115	65
116	65
118	67
119	67
122	68
124	70
125	70
126	70
128	71
129	72
130	72
132	72
133	74
136	75
137	77
139	77
140	77
141	78
143	79
144	79
145	79
147	81
150	83
152	84
154	85
155	87
160	90
161	92
163	92
164	92
165	94
167	94
168	95
170	95
172	97
173	97
174	98
176	98
178	100
179	100
180	102
182	102
183	103
185	103
186	105
187	105
189	107
192	110
193	110
195	112
197	112
198	113
200	113
202	115
203	115
204	116
206	116
207	118
208	118
211	119
212	119
213	122
214	122
217	124
220	125
221	125
222	126
224	126
226	128
227	128
228	129
230	129
231	130
232	130
234	132
236	132
237	133
238	133
241	136
242	136
243	137
245	137
248	139
249	140
251	140
252	141
253	141
255	143
257	143
258	144
259	144
262	145
265	147
266	147
268	150
269	150
271	152
272	152
273	154
275	154
276	155
277	155
280	160
281	160
282	161
284	161
286	163
287	163
288	164
290	164
291	165
292	165
294	165
295	167
297	168
300	170
301	172
303	173
305	174
308	176
311	178
312	178
314	179
315	180
316	180
318	180
319	182
322	183
323	185
325	185
326	185
327	186
329	187
330	187
331	187
333	189
335	192
336	192
338	192
339	193
341	195
342	195
344	195
345	197
350	200
351	202
353	203
355	204
358	206
360	207
362	208
363	211
365	212
367	213
368	213
370	213
371	214
374	217
375	220
377	221
379	222
382	224
383	226
384	226
385	226
388	227
389	228
392	230
394	231
400	236
401	237
403	238
404	238
405	238
408	241
409	241
410	241
412	242
413	243
416	245
417	248
422	251
423	252
426	253
427	253
428	253
429	255
432	257
434	258
436	259
437	262
440	265
441	266
444	266
445	268
446	268
447	268
450	269
452	271
454	271
456	272
457	273
458	273
460	273
461	275
463	276
466	277
467	277
468	277
